1181, 193, 128, 138
974, 228, 122, 132
706, 190, 130, 140
501, 225, 132, 142
376, 356, 126, 136
628, 360, 126, 136
869, 401, 116, 126
1046, 394, 130, 140
1292, 412, 138, 148
256, 522, 130, 140
1221, 571, 128, 138
1460, 542, 118, 128
965, 561, 124, 134
440, 560, 130, 140
738, 566, 138, 148
99, 713, 136, 146
1504, 760, 138, 148
596, 740, 138, 148
844, 746, 118, 128
1085, 747, 132, 142
325, 767, 136, 146
1322, 734, 138, 148
1112, 1178, 126, 136
1334, 1146, 138, 148
320, 1150, 138, 148
560, 1150, 134, 144
870, 1172, 138, 148
